"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"188","13101",156,1006,NA,13,NA,-850
"189","13103",4851,17865,NA,679,NA,-13014
"190","13105",2507,5269,NA,136,NA,-2762
"191","13107",2433,5330,NA,75,NA,-2897
"192","13109",1130,2404,NA,68,NA,-1274
"193","13111",1920,9622,NA,222,NA,-7702
"194","13113",23255,35034,NA,2098,NA,-11779
"195","13115",9127,24045,NA,1078,NA,-14918
"196","13117",23427,69801,NA,4086,NA,-46374
"197","13119",1243,7054,NA,177,NA,-5811
"198","13121",281875,110372,NA,14926,NA,171503
"199","13123",1955,10465,NA,293,NA,-8510
"200","13125",138,1235,NA,17,NA,-1097
"201","13127",11738,21482,NA,821,NA,-9744
"202","13129",3176,15171,NA,503,NA,-11995
"203","13131",3005,6047,NA,135,NA,-3042
"204","13133",3194,5488,NA,149,NA,-2294
"205","13135",165063,146463,NA,12405,NA,18600
"206","13137",2483,13184,NA,461,NA,-10701
"207","13139",16153,51681,NA,2299,NA,-35528
"208","13141",2695,841,NA,36,NA,1854
"209","13143",1474,9579,NA,264,NA,-8105
"210","13145",4082,11931,NA,379,NA,-7849
"211","13147",2583,7285,NA,209,NA,-4702
"212","13149",743,3370,NA,93,NA,-2627
"213","13151",49902,45641,NA,2494,NA,4261
"214","13153",22460,35351,NA,1748,NA,-12891
"215","13155",890,2711,NA,58,NA,-1821
"216","13157",4469,21754,NA,834,NA,-17285
"217","13159",1544,4353,NA,119,NA,-2809
"218","13161",901,4102,NA,86,NA,-3201
"219","13163",3809,3057,NA,68,NA,752
"220","13165",1108,1892,NA,34,NA,-784
"221","13167",1136,2519,NA,27,NA,-1383
"222","13169",3960,8304,NA,260,NA,-4344
"223","13171",2267,5183,NA,125,NA,-2916
"224","13173",805,1984,NA,72,NA,-1179
"225","13175",6737,12401,NA,310,NA,-5664
"226","13177",3166,10641,NA,299,NA,-7475
"227","13179",9531,6125,NA,426,NA,3406
"228","13181",1271,2759,NA,70,NA,-1488
"229","13183",1356,2623,NA,130,NA,-1267
"230","13185",14614,21308,NA,891,NA,-6694
"231","13187",2216,9613,NA,495,NA,-7397
"232","13189",3699,5432,NA,137,NA,-1733
"233","13191",2298,3482,NA,113,NA,-1184
"234","13193",2705,1540,NA,42,NA,1165
"235","13195",2423,9195,NA,327,NA,-6772
"236","13197",1213,1921,NA,49,NA,-708
"237","13199",3800,5216,NA,165,NA,-1416
"238","13201",622,1888,NA,30,NA,-1266
"239","13205",3492,4272,NA,93,NA,-780
"240","13207",3570,8821,NA,284,NA,-5251
"241","13209",847,2668,NA,45,NA,-1821
"242","13211",2658,6559,NA,218,NA,-3901
"243","13213",1799,10340,NA,283,NA,-8541
"244","13215",39602,26901,NA,1817,NA,12701
"245","13217",21936,20907,NA,944,NA,1029
"246","13219",5253,12885,NA,892,NA,-7632
"247","13221",1829,4622,NA,199,NA,-2793
"248","13223",18004,44646,NA,1951,NA,-26642
"249","13225",5083,5405,NA,211,NA,-322
"250","13227",1977,11651,NA,354,NA,-9674
"251","13229",903,6301,NA,93,NA,-5398
"252","13231",1239,7273,NA,163,NA,-6034
"253","13233",2863,11006,NA,289,NA,-8143
"254","13235",1104,2436,NA,58,NA,-1332
"255","13237",2745,6516,NA,170,NA,-3771
"256","13239",461,575,NA,8,NA,-114
"257","13241",1443,6287,NA,219,NA,-4844
"258","13243",1597,1270,NA,28,NA,327
"259","13245",48707,24441,NA,1804,NA,24266
"260","13247",23206,13463,NA,920,NA,9743
"261","13249",401,1472,NA,36,NA,-1071
"262","13251",2300,3305,NA,94,NA,-1005
"263","13253",1186,2343,NA,48,NA,-1157
"264","13255",9347,15636,NA,957,NA,-6289
"265","13257",1835,7682,NA,243,NA,-5847
"266","13259",1220,805,NA,28,NA,415
"267","13261",5520,5275,NA,178,NA,245
"268","13263",2001,1196,NA,46,NA,805
"269","13265",545,349,NA,3,NA,196
"270","13267",1678,5092,NA,109,NA,-3414
"271","13269",1295,2062,NA,45,NA,-767
"272","13271",1313,2449,NA,32,NA,-1136
"273","13273",2267,1872,NA,40,NA,395
"274","13275",7138,11225,NA,367,NA,-4087
"275","13277",3892,8680,NA,224,NA,-4788
"276","13279",2338,6612,NA,158,NA,-4274
"277","13281",1206,5377,NA,143,NA,-4171
"278","13283",860,1808,NA,32,NA,-948
"279","13285",9597,15643,NA,553,NA,-6046
"280","13287",1243,2094,NA,53,NA,-851
"281","13289",1970,2034,NA,49,NA,-64
"282","13291",1962,9849,NA,228,NA,-7887
"283","13293",3471,7288,NA,165,NA,-3817
"284","13295",4213,18938,NA,788,NA,-14725
"285","13297",8279,31093,NA,1053,NA,-22814
"286","13299",3436,8508,NA,206,NA,-5072
"287","13301",1313,991,NA,28,NA,322
"288","13303",4187,4138,NA,97,NA,49
"289","13305",2039,8147,NA,190,NA,-6108
"290","13307",471,630,NA,13,NA,-159
"291","13309",646,1421,NA,35,NA,-775
"292","13311",1672,9751,NA,348,NA,-8079
"293","13313",7925,21514,NA,923,NA,-13589
"294","13315",852,2096,NA,25,NA,-1244
"295","13317",1844,2569,NA,57,NA,-725
"296","13319",1893,2332,NA,51,NA,-439
"297","13321",2015,6144,NA,107,NA,-4129
"298","15001",41258,17500,2852,2470,5322,23758
"299","15003",175634,90296,6467,10462,16929,85338
"300","15007",16456,7574,1019,982,2001,8882
"301","15009",33479,13445,2389,2035,4424,20034
"302","16001",75676,93748,3134,9978,13112,-18072
"303","16003",415,1556,19,83,102,-1141
"304","16005",10342,17180,518,1471,1989,-6838
"305","16007",255,2203,11,54,65,-1948
"306","16009",780,3101,42,151,193,-2321
"307","16011",2924,10907,124,417,541,-7983
"308","16013",6416,3340,176,424,600,3076
"309","16015",777,2673,35,173,208,-1896
"310","16017",5140,10220,347,626,973,-5080
"311","16019",8930,26699,399,1634,2033,-17769
"312","16021",933,3789,77,161,238,-2856
"313","16023",160,914,7,25,32,-754
"314","16025",110,410,15,23,38,-300
"315","16027",16683,46755,786,2748,3534,-30072
"316","16029",271,2275,15,64,79,-2004
"317","16031",1036,5949,37,202,239,-4913
"318","16033",44,203,1,4,5,-159
"319","16035",704,2852,38,97,135,-2148
"320","16037",427,1777,30,67,97,-1350
"321","16039",1814,5816,77,332,409,-4002
"322","16041",385,3901,30,117,147,-3516
"323","16043",651,4091,20,127,147,-3440
"324","16045",1229,5980,57,241,298,-4751
"325","16047",930,3743,30,110,140,-2813
"326","16049",1196,6441,52,249,301,-5245
"327","16051",976,8436,55,274,329,-7460
"328","16053",2117,7347,81,334,415,-5230
"329","16055",16264,44449,744,2604,3348,-28185
"330","16057",8093,7255,463,1197,1660,838
"331","16059",733,3011,31,135,166,-2278
"332","16061",270,1202,13,62,75,-932
"333","16063",360,1184,18,54,72,-824
"334","16065",1201,8941,69,612,681,-7740
"335","16067",1167,4887,41,207,248,-3720
"336","16069",4828,10699,203,879,1082,-5871
"337","16071",184,1531,3,37,40,-1347
"338","16073",591,3052,26,108,134,-2461
"339","16075",892,4306,48,187,235,-3414
"340","16077",699,1666,26,92,118,-967
"341","16079",1384,3297,54,219,273,-1913
"342","16081",2157,2161,99,183,282,-4
"343","16083",6844,21063,334,1126,1460,-14219
"344","16085",1913,2906,53,230,283,-993
"345","16087",776,3283,26,138,164,-2507
"346","17001",7633,22732,248,1157,1405,-15099
"347","17003",1262,1496,14,48,62,-234
"348","17005",2066,4884,66,446,512,-2818
"349","17007",8952,12261,329,1062,1391,-3309
"350","17009",475,1776,10,75,85,-1301
"351","17011",6010,9264,193,836,1029,-3254
"352","17013",739,1719,26,72,98,-980
"353","17015",2437,4428,96,393,489,-1991
"354","17017",1617,3216,50,171,221,-1599
"355","17019",49694,33235,1765,4502,6267,16459
"356","17021",3982,10522,147,659,806,-6540
"357","17023",1873,5620,49,277,326,-3747
"358","17025",1014,5009,48,207,255,-3995
"359","17027",3939,12394,124,811,935,-8455
"360","17029",7285,12985,287,1023,1310,-5700
"361","17031",1528582,440213,30520,55900,86420,1088369
"362","17033",1969,6146,68,324,392,-4177
