"","FIPS","HRC","DJT","JS","GJ","Third","diff","total","pctHRC","pctDJT","pctDiff"
"232","13189",3699,5432,NA,137,NA,-1733,NA,NA,NA,NA
"233","13191",2298,3482,NA,113,NA,-1184,NA,NA,NA,NA
"234","13193",2705,1540,NA,42,NA,1165,NA,NA,NA,NA
"235","13195",2423,9195,NA,327,NA,-6772,NA,NA,NA,NA
"236","13197",1213,1921,NA,49,NA,-708,NA,NA,NA,NA
"237","13199",3800,5216,NA,165,NA,-1416,NA,NA,NA,NA
"238","13201",622,1888,NA,30,NA,-1266,NA,NA,NA,NA
"239","13205",3492,4272,NA,93,NA,-780,NA,NA,NA,NA
"240","13207",3570,8821,NA,284,NA,-5251,NA,NA,NA,NA
"241","13209",847,2668,NA,45,NA,-1821,NA,NA,NA,NA
"242","13211",2658,6559,NA,218,NA,-3901,NA,NA,NA,NA
"243","13213",1799,10340,NA,283,NA,-8541,NA,NA,NA,NA
"244","13215",39602,26901,NA,1817,NA,12701,NA,NA,NA,NA
"245","13217",21936,20907,NA,944,NA,1029,NA,NA,NA,NA
"246","13219",5253,12885,NA,892,NA,-7632,NA,NA,NA,NA
"247","13221",1829,4622,NA,199,NA,-2793,NA,NA,NA,NA
"248","13223",18004,44646,NA,1951,NA,-26642,NA,NA,NA,NA
"249","13225",5083,5405,NA,211,NA,-322,NA,NA,NA,NA
"250","13227",1977,11651,NA,354,NA,-9674,NA,NA,NA,NA
"251","13229",903,6301,NA,93,NA,-5398,NA,NA,NA,NA
"252","13231",1239,7273,NA,163,NA,-6034,NA,NA,NA,NA
"253","13233",2863,11006,NA,289,NA,-8143,NA,NA,NA,NA
"254","13235",1104,2436,NA,58,NA,-1332,NA,NA,NA,NA
"255","13237",2745,6516,NA,170,NA,-3771,NA,NA,NA,NA
"256","13239",461,575,NA,8,NA,-114,NA,NA,NA,NA
"257","13241",1443,6287,NA,219,NA,-4844,NA,NA,NA,NA
"258","13243",1597,1270,NA,28,NA,327,NA,NA,NA,NA
"259","13245",48707,24441,NA,1804,NA,24266,NA,NA,NA,NA
"260","13247",23206,13463,NA,920,NA,9743,NA,NA,NA,NA
"261","13249",401,1472,NA,36,NA,-1071,NA,NA,NA,NA
"262","13251",2300,3305,NA,94,NA,-1005,NA,NA,NA,NA
"263","13253",1186,2343,NA,48,NA,-1157,NA,NA,NA,NA
"264","13255",9347,15636,NA,957,NA,-6289,NA,NA,NA,NA
"265","13257",1835,7682,NA,243,NA,-5847,NA,NA,NA,NA
"266","13259",1220,805,NA,28,NA,415,NA,NA,NA,NA
"267","13261",5520,5275,NA,178,NA,245,NA,NA,NA,NA
"268","13263",2001,1196,NA,46,NA,805,NA,NA,NA,NA
"269","13265",545,349,NA,3,NA,196,NA,NA,NA,NA
"270","13267",1678,5092,NA,109,NA,-3414,NA,NA,NA,NA
"271","13269",1295,2062,NA,45,NA,-767,NA,NA,NA,NA
"272","13271",1313,2449,NA,32,NA,-1136,NA,NA,NA,NA
"273","13273",2267,1872,NA,40,NA,395,NA,NA,NA,NA
"274","13275",7138,11225,NA,367,NA,-4087,NA,NA,NA,NA
"275","13277",3892,8680,NA,224,NA,-4788,NA,NA,NA,NA
"276","13279",2338,6612,NA,158,NA,-4274,NA,NA,NA,NA
"277","13281",1206,5377,NA,143,NA,-4171,NA,NA,NA,NA
"278","13283",860,1808,NA,32,NA,-948,NA,NA,NA,NA
"279","13285",9597,15643,NA,553,NA,-6046,NA,NA,NA,NA
"280","13287",1243,2094,NA,53,NA,-851,NA,NA,NA,NA
"281","13289",1970,2034,NA,49,NA,-64,NA,NA,NA,NA
"282","13291",1962,9849,NA,228,NA,-7887,NA,NA,NA,NA
"283","13293",3471,7288,NA,165,NA,-3817,NA,NA,NA,NA
"284","13295",4213,18938,NA,788,NA,-14725,NA,NA,NA,NA
"285","13297",8279,31093,NA,1053,NA,-22814,NA,NA,NA,NA
"286","13299",3436,8508,NA,206,NA,-5072,NA,NA,NA,NA
"287","13301",1313,991,NA,28,NA,322,NA,NA,NA,NA
"288","13303",4187,4138,NA,97,NA,49,NA,NA,NA,NA
"289","13305",2039,8147,NA,190,NA,-6108,NA,NA,NA,NA
"290","13307",471,630,NA,13,NA,-159,NA,NA,NA,NA
"291","13309",646,1421,NA,35,NA,-775,NA,NA,NA,NA
"292","13311",1672,9751,NA,348,NA,-8079,NA,NA,NA,NA
"293","13313",7925,21514,NA,923,NA,-13589,NA,NA,NA,NA
"294","13315",852,2096,NA,25,NA,-1244,NA,NA,NA,NA
"295","13317",1844,2569,NA,57,NA,-725,NA,NA,NA,NA
"296","13319",1893,2332,NA,51,NA,-439,NA,NA,NA,NA
"297","13321",2015,6144,NA,107,NA,-4129,NA,NA,NA,NA
"298","15001",41258,17500,2852,2470,5322,23758,64080,64.3851435705368,27.3096129837703,37.0755305867665
"299","15003",175634,90296,6467,10462,16929,85338,282859,62.0924206053193,31.9226186898773,30.169801915442
"300","15007",16456,7574,1019,982,2001,8882,26031,63.2169336560255,29.0960777534478,34.1208559025777
"301","15009",33479,13445,2389,2035,4424,20034,51348,65.2002025395342,26.1840772766223,39.0161252629119
"302","16001",75676,93748,3134,9978,13112,-18072,182536,41.4581233290967,51.3586361046588,-9.90051277556208
"303","16003",415,1556,19,83,102,-1141,2073,20.0192957067053,75.0602990834539,-55.0410033767487
"304","16005",10342,17180,518,1471,1989,-6838,29511,35.0445596557216,58.2155806309512,-23.1710209752296
"305","16007",255,2203,11,54,65,-1948,2523,10.1070154577883,87.316686484344,-77.2096710265557
"306","16009",780,3101,42,151,193,-2321,4074,19.1458026509573,76.1168384879725,-56.9710358370152
"307","16011",2924,10907,124,417,541,-7983,14372,20.3451155023657,75.8906206512663,-55.5455051489006
"308","16013",6416,3340,176,424,600,3076,10356,61.9544225569718,32.2518346852066,29.7025878717652
"309","16015",777,2673,35,173,208,-1896,3658,21.2411153635867,73.0727173318753,-51.8316019682887
"310","16017",5140,10220,347,626,973,-5080,16333,31.4700300006123,62.5727055654197,-31.1026755648074
"311","16019",8930,26699,399,1634,2033,-17769,37662,23.7109022356752,70.8910838510966,-47.1801816154214
"312","16021",933,3789,77,161,238,-2856,4960,18.8104838709677,76.3911290322581,-57.5806451612903
"313","16023",160,914,7,25,32,-754,1106,14.4665461121157,82.6401446654611,-68.1735985533454
"314","16025",110,410,15,23,38,-300,558,19.7132616487455,73.4767025089606,-53.7634408602151
"315","16027",16683,46755,786,2748,3534,-30072,66972,24.9104103207311,69.8127575703279,-44.9023472495969
"316","16029",271,2275,15,64,79,-2004,2625,10.3238095238095,86.6666666666667,-76.3428571428571
"317","16031",1036,5949,37,202,239,-4913,7224,14.3410852713178,82.3504983388704,-68.0094130675526
"318","16033",44,203,1,4,5,-159,252,17.4603174603175,80.5555555555556,-63.0952380952381
"319","16035",704,2852,38,97,135,-2148,3691,19.0734218369006,77.2690327824438,-58.1956109455432
"320","16037",427,1777,30,67,97,-1350,2301,18.5571490656236,77.2272924815298,-58.6701434159061
"321","16039",1814,5816,77,332,409,-4002,8039,22.5649956462247,72.347306878965,-49.7823112327404
"322","16041",385,3901,30,117,147,-3516,4433,8.6848635235732,87.999097676517,-79.3142341529438
"323","16043",651,4091,20,127,147,-3440,4889,13.3156064634895,83.6776436899161,-70.3620372264267
"324","16045",1229,5980,57,241,298,-4751,7507,16.3713867057413,79.6589849473824,-63.2875982416411
"325","16047",930,3743,30,110,140,-2813,4813,19.3226677747766,77.7685435279451,-58.4458757531685
"326","16049",1196,6441,52,249,301,-5245,7938,15.0667674477198,81.1413454270597,-66.0745779793399
"327","16051",976,8436,55,274,329,-7460,9741,10.0195051842727,86.603018170619,-76.5835129863464
"328","16053",2117,7347,81,334,415,-5230,9879,21.4292944630023,74.369875493471,-52.9405810304687
"329","16055",16264,44449,744,2604,3348,-28185,64061,25.3883017748708,69.3854295124959,-43.9971277376251
"330","16057",8093,7255,463,1197,1660,838,17008,47.5834901222954,42.6563969896519,4.92709313264346
"331","16059",733,3011,31,135,166,-2278,3910,18.7468030690537,77.0076726342711,-58.2608695652174
"332","16061",270,1202,13,62,75,-932,1547,17.4531351001939,77.6987718164189,-60.245636716225
"333","16063",360,1184,18,54,72,-824,1616,22.2772277227723,73.2673267326733,-50.990099009901
"334","16065",1201,8941,69,612,681,-7740,10823,11.0967384274231,82.6111059780098,-71.5143675505867
"335","16067",1167,4887,41,207,248,-3720,6302,18.5179308156141,77.5468105363377,-59.0288797207236
"336","16069",4828,10699,203,879,1082,-5871,16609,29.0685772773797,64.4168824131495,-35.3483051357698
"337","16071",184,1531,3,37,40,-1347,1755,10.4843304843305,87.2364672364672,-76.7521367521367
"338","16073",591,3052,26,108,134,-2461,3777,15.647339158062,80.80487159121,-65.157532433148
"339","16075",892,4306,48,187,235,-3414,5433,16.418185164734,79.2563960979201,-62.8382109331861
"340","16077",699,1666,26,92,118,-967,2483,28.1514297221104,67.0962545308095,-38.9448248086992
"341","16079",1384,3297,54,219,273,-1913,4954,27.9370205894227,66.5522809850626,-38.6152603956399
"342","16081",2157,2161,99,183,282,-4,4600,46.8913043478261,46.9782608695652,-0.0869565217391326
"343","16083",6844,21063,334,1126,1460,-14219,29367,23.3050703170225,71.7233629584227,-48.4182926414002
"344","16085",1913,2906,53,230,283,-993,5102,37.4950999607997,56.9580556644453,-19.4629557036456
"345","16087",776,3283,26,138,164,-2507,4223,18.3755623964007,77.7409424579683,-59.3653800615676
"346","17001",7633,22732,248,1157,1405,-15099,31770,24.0258105130626,71.5517784073025,-47.5259678942399
"347","17003",1262,1496,14,48,62,-234,2820,44.7517730496454,53.0496453900709,-8.29787234042553
"348","17005",2066,4884,66,446,512,-2818,7462,27.6869471991423,65.4516215491825,-37.7646743500402
"349","17007",8952,12261,329,1062,1391,-3309,22604,39.6036099805344,54.2426119270926,-14.6390019465581
"350","17009",475,1776,10,75,85,-1301,2336,20.333904109589,76.027397260274,-55.6934931506849
"351","17011",6010,9264,193,836,1029,-3254,16303,36.8643807888119,56.8238974421886,-19.9595166533767
"352","17013",739,1719,26,72,98,-980,2556,28.9123630672926,67.2535211267606,-38.3411580594679
"353","17015",2437,4428,96,393,489,-1991,7354,33.1384280663584,60.2121294533587,-27.0737013870003
"354","17017",1617,3216,50,171,221,-1599,5054,31.994459833795,63.6327661258409,-31.6383062920459
"355","17019",49694,33235,1765,4502,6267,16459,89196,55.7132606843356,37.2606394905601,18.4526211937755
"356","17021",3982,10522,147,659,806,-6540,15310,26.009144350098,68.7263226649249,-42.7171783148269
"357","17023",1873,5620,49,277,326,-3747,7819,23.954469881059,71.87619900243,-47.921729121371
"358","17025",1014,5009,48,207,255,-3995,6278,16.1516406498885,79.7865562280981,-63.6349155782096
"359","17027",3939,12394,124,811,935,-8455,17268,22.8109798471161,71.7743803567292,-48.9634005096132
"360","17029",7285,12985,287,1023,1310,-5700,21580,33.758109360519,60.1714550509731,-26.4133456904541
"361","17031",1528582,440213,30520,55900,86420,1088369,2055215,74.3757709047472,21.419316227256,52.9564546774912
"362","17033",1969,6146,68,324,392,-4177,8507,23.1456447631362,72.2463853297285,-49.1007405665922
"363","17035",1028,4200,47,238,285,-3172,5513,18.6468347542173,76.183566116452,-57.5367313622347
"364","17037",20348,19051,743,2463,3206,1297,42605,47.7596526229316,44.7154089895552,3.04424363337637
"365","17039",1907,5072,61,429,490,-3165,7469,25.5321997590039,67.9073503815772,-42.3751506225733
"366","17041",1946,5695,89,359,448,-3749,8089,24.0573618494251,70.4042526888367,-46.3468908394115
